time, infected, susceptable
0, 0.040, 0.960
1, 0.165, 0.835
2, 0.279, 0.721
3, 0.439, 0.561
4, 0.532, 0.468
5, 0.510, 0.490
6, 0.510, 0.490
7, 0.530, 0.470
8, 0.506, 0.494
9, 0.532, 0.468
10, 0.508, 0.492
11, 0.524, 0.476
12, 0.517, 0.483
13, 0.506, 0.494
14, 0.537, 0.463
15, 0.509, 0.491
16, 0.519, 0.481
17, 0.514, 0.486
18, 0.527, 0.473
19, 0.522, 0.478
20, 0.507, 0.493
21, 0.524, 0.476
22, 0.505, 0.495
23, 0.515, 0.485
24, 0.533, 0.467
25, 0.512, 0.488
26, 0.538, 0.462
27, 0.499, 0.501
28, 0.525, 0.475
29, 0.498, 0.502
30, 0.518, 0.482
31, 0.518, 0.482
32, 0.516, 0.484
33, 0.521, 0.479
34, 0.515, 0.485
35, 0.520, 0.480
36, 0.514, 0.486
37, 0.525, 0.475
38, 0.506, 0.494
39, 0.538, 0.462
40, 0.491, 0.509
41, 0.535, 0.465
42, 0.508, 0.492
43, 0.522, 0.478
44, 0.520, 0.480
45, 0.516, 0.484
46, 0.522, 0.478
47, 0.522, 0.478
48, 0.519, 0.481
49, 0.512, 0.488
50, 0.528, 0.472
51, 0.510, 0.490
52, 0.524, 0.476
53, 0.510, 0.490
54, 0.520, 0.480
55, 0.509, 0.491
56, 0.526, 0.474
57, 0.523, 0.477
58, 0.507, 0.493
59, 0.536, 0.464
60, 0.504, 0.496
61, 0.538, 0.462
62, 0.510, 0.490
63, 0.505, 0.495
64, 0.522, 0.478
65, 0.507, 0.493
66, 0.516, 0.484
67, 0.517, 0.483
68, 0.530, 0.470
69, 0.492, 0.508
70, 0.519, 0.481
71, 0.495, 0.505
72, 0.529, 0.471
73, 0.508, 0.492
74, 0.534, 0.466
75, 0.500, 0.500
76, 0.526, 0.474
77, 0.515, 0.485
78, 0.511, 0.489
79, 0.517, 0.483
80, 0.525, 0.475
81, 0.508, 0.492
82, 0.508, 0.492
83, 0.523, 0.477
84, 0.511, 0.489
85, 0.523, 0.477
86, 0.513, 0.487
87, 0.521, 0.479
88, 0.529, 0.471
89, 0.500, 0.500
90, 0.520, 0.480
91, 0.527, 0.473
92, 0.505, 0.495
93, 0.523, 0.477
94, 0.506, 0.494
95, 0.527, 0.473
96, 0.512, 0.488
97, 0.515, 0.485
98, 0.519, 0.481
99, 0.512, 0.488
