time, infected, susceptable
0, 0.040, 0.960
1, 0.155, 0.845
2, 0.316, 0.684
3, 0.504, 0.496
4, 0.685, 0.315
5, 0.785, 0.215
6, 0.815, 0.185
7, 0.807, 0.193
8, 0.840, 0.160
9, 0.828, 0.172
10, 0.831, 0.169
11, 0.829, 0.171
12, 0.839, 0.161
13, 0.826, 0.174
14, 0.815, 0.185
15, 0.815, 0.185
16, 0.822, 0.178
17, 0.837, 0.163
18, 0.829, 0.171
19, 0.823, 0.177
20, 0.833, 0.167
21, 0.809, 0.191
22, 0.833, 0.167
23, 0.798, 0.202
24, 0.844, 0.156
25, 0.831, 0.169
26, 0.810, 0.190
27, 0.818, 0.182
28, 0.816, 0.184
29, 0.822, 0.178
30, 0.831, 0.169
31, 0.823, 0.177
32, 0.811, 0.189
33, 0.812, 0.188
34, 0.836, 0.164
35, 0.823, 0.177
36, 0.847, 0.153
37, 0.803, 0.197
38, 0.823, 0.177
39, 0.858, 0.142
40, 0.806, 0.194
41, 0.852, 0.148
42, 0.818, 0.182
43, 0.831, 0.169
44, 0.832, 0.168
45, 0.812, 0.188
46, 0.816, 0.184
47, 0.828, 0.172
48, 0.819, 0.181
49, 0.833, 0.167
50, 0.824, 0.176
51, 0.819, 0.181
52, 0.839, 0.161
53, 0.811, 0.189
54, 0.845, 0.155
55, 0.800, 0.200
56, 0.846, 0.154
57, 0.810, 0.190
58, 0.833, 0.167
59, 0.825, 0.175
60, 0.824, 0.176
61, 0.822, 0.178
62, 0.827, 0.173
63, 0.824, 0.176
64, 0.836, 0.164
65, 0.822, 0.178
66, 0.806, 0.194
67, 0.836, 0.164
68, 0.829, 0.171
69, 0.810, 0.190
70, 0.852, 0.148
71, 0.830, 0.170
72, 0.817, 0.183
73, 0.819, 0.181
74, 0.821, 0.179
75, 0.824, 0.176
76, 0.821, 0.179
77, 0.823, 0.177
78, 0.828, 0.172
79, 0.811, 0.189
80, 0.842, 0.158
81, 0.822, 0.178
82, 0.840, 0.160
83, 0.813, 0.187
84, 0.834, 0.166
85, 0.820, 0.180
86, 0.823, 0.177
87, 0.837, 0.163
88, 0.824, 0.176
89, 0.841, 0.159
90, 0.828, 0.172
91, 0.822, 0.178
92, 0.831, 0.169
93, 0.801, 0.199
94, 0.827, 0.173
95, 0.809, 0.191
96, 0.831, 0.169
97, 0.833, 0.167
98, 0.812, 0.188
99, 0.836, 0.164
