time, infected, susceptable
0, 0.040, 0.960
1, 0.128, 0.872
2, 0.254, 0.746
3, 0.420, 0.580
4, 0.588, 0.412
5, 0.724, 0.276
6, 0.800, 0.200
7, 0.812, 0.188
8, 0.808, 0.192
9, 0.796, 0.204
10, 0.818, 0.182
11, 0.827, 0.173
12, 0.838, 0.162
13, 0.816, 0.184
14, 0.834, 0.166
15, 0.825, 0.175
16, 0.828, 0.172
17, 0.838, 0.162
18, 0.826, 0.174
19, 0.810, 0.190
20, 0.825, 0.175
21, 0.807, 0.193
22, 0.845, 0.155
23, 0.828, 0.172
24, 0.820, 0.180
25, 0.815, 0.185
26, 0.834, 0.166
27, 0.806, 0.194
28, 0.814, 0.186
29, 0.829, 0.171
30, 0.827, 0.173
31, 0.811, 0.189
32, 0.838, 0.162
33, 0.794, 0.206
34, 0.826, 0.174
35, 0.836, 0.164
36, 0.819, 0.181
37, 0.806, 0.194
38, 0.816, 0.184
39, 0.816, 0.184
40, 0.844, 0.156
41, 0.825, 0.175
42, 0.813, 0.187
43, 0.805, 0.195
44, 0.815, 0.185
45, 0.832, 0.168
46, 0.838, 0.162
47, 0.824, 0.176
48, 0.818, 0.182
49, 0.803, 0.197
50, 0.850, 0.150
51, 0.815, 0.185
52, 0.823, 0.177
53, 0.817, 0.183
54, 0.824, 0.176
55, 0.822, 0.178
56, 0.821, 0.179
57, 0.815, 0.185
58, 0.835, 0.165
59, 0.832, 0.168
60, 0.804, 0.196
61, 0.808, 0.192
62, 0.824, 0.176
63, 0.804, 0.196
64, 0.811, 0.189
65, 0.819, 0.181
66, 0.816, 0.184
67, 0.805, 0.195
68, 0.844, 0.156
69, 0.813, 0.187
70, 0.839, 0.161
71, 0.828, 0.172
72, 0.816, 0.184
73, 0.816, 0.184
74, 0.807, 0.193
75, 0.819, 0.181
76, 0.814, 0.186
77, 0.808, 0.192
78, 0.811, 0.189
79, 0.820, 0.180
80, 0.816, 0.184
81, 0.829, 0.171
82, 0.839, 0.161
83, 0.815, 0.185
84, 0.829, 0.171
85, 0.822, 0.178
86, 0.838, 0.162
87, 0.797, 0.203
88, 0.842, 0.158
89, 0.826, 0.174
90, 0.806, 0.194
91, 0.802, 0.198
92, 0.825, 0.175
93, 0.832, 0.168
94, 0.840, 0.160
95, 0.806, 0.194
96, 0.834, 0.166
97, 0.831, 0.169
98, 0.814, 0.186
99, 0.831, 0.169
