time, infected, susceptable
0, 0.040, 0.960
1, 0.344, 0.656
2, 0.908, 0.092
3, 0.807, 0.193
4, 0.832, 0.168
5, 0.840, 0.160
6, 0.825, 0.175
7, 0.849, 0.151
8, 0.831, 0.169
9, 0.834, 0.166
10, 0.826, 0.174
11, 0.837, 0.163
12, 0.828, 0.172
13, 0.830, 0.170
14, 0.853, 0.147
15, 0.846, 0.154
16, 0.833, 0.167
17, 0.844, 0.156
18, 0.801, 0.199
19, 0.843, 0.157
20, 0.822, 0.178
21, 0.849, 0.151
22, 0.839, 0.161
23, 0.822, 0.178
24, 0.832, 0.168
25, 0.835, 0.165
26, 0.817, 0.183
27, 0.827, 0.173
28, 0.839, 0.161
29, 0.827, 0.173
30, 0.824, 0.176
31, 0.823, 0.177
32, 0.839, 0.161
33, 0.832, 0.168
34, 0.841, 0.159
35, 0.834, 0.166
36, 0.845, 0.155
37, 0.829, 0.171
38, 0.841, 0.159
39, 0.841, 0.159
40, 0.826, 0.174
41, 0.841, 0.159
42, 0.836, 0.164
43, 0.828, 0.172
44, 0.833, 0.167
45, 0.838, 0.162
46, 0.857, 0.143
47, 0.827, 0.173
48, 0.832, 0.168
49, 0.833, 0.167
50, 0.834, 0.166
51, 0.817, 0.183
52, 0.828, 0.172
53, 0.835, 0.165
54, 0.820, 0.180
55, 0.835, 0.165
56, 0.839, 0.161
57, 0.836, 0.164
58, 0.853, 0.147
59, 0.842, 0.158
60, 0.843, 0.157
61, 0.828, 0.172
62, 0.828, 0.172
63, 0.817, 0.183
64, 0.829, 0.171
65, 0.813, 0.187
66, 0.842, 0.158
67, 0.825, 0.175
68, 0.844, 0.156
69, 0.847, 0.153
70, 0.817, 0.183
71, 0.840, 0.160
72, 0.828, 0.172
73, 0.838, 0.162
74, 0.826, 0.174
75, 0.841, 0.159
76, 0.831, 0.169
77, 0.831, 0.169
78, 0.851, 0.149
79, 0.827, 0.173
80, 0.841, 0.159
81, 0.822, 0.178
82, 0.840, 0.160
83, 0.820, 0.180
84, 0.846, 0.154
85, 0.821, 0.179
86, 0.829, 0.171
87, 0.837, 0.163
88, 0.837, 0.163
89, 0.815, 0.185
90, 0.828, 0.172
91, 0.822, 0.178
92, 0.845, 0.155
93, 0.823, 0.177
94, 0.848, 0.152
95, 0.831, 0.169
96, 0.853, 0.147
97, 0.817, 0.183
98, 0.846, 0.154
99, 0.839, 0.161
