time, infected, susceptable
0, 0.040, 0.960
1, 0.122, 0.878
2, 0.385, 0.615
3, 0.690, 0.310
4, 0.769, 0.231
5, 0.826, 0.174
6, 0.822, 0.178
7, 0.835, 0.165
8, 0.814, 0.186
9, 0.813, 0.187
10, 0.817, 0.183
11, 0.817, 0.183
12, 0.811, 0.189
13, 0.820, 0.180
14, 0.801, 0.199
15, 0.821, 0.179
16, 0.815, 0.185
17, 0.821, 0.179
18, 0.805, 0.195
19, 0.802, 0.198
20, 0.836, 0.164
21, 0.813, 0.187
22, 0.808, 0.192
23, 0.806, 0.194
24, 0.819, 0.181
25, 0.804, 0.196
26, 0.808, 0.192
27, 0.816, 0.184
28, 0.793, 0.207
29, 0.797, 0.203
30, 0.822, 0.178
31, 0.805, 0.195
32, 0.837, 0.163
33, 0.789, 0.211
34, 0.811, 0.189
35, 0.801, 0.199
36, 0.825, 0.175
37, 0.811, 0.189
38, 0.822, 0.178
39, 0.807, 0.193
40, 0.804, 0.196
41, 0.819, 0.181
42, 0.809, 0.191
43, 0.810, 0.190
44, 0.812, 0.188
45, 0.810, 0.190
46, 0.802, 0.198
47, 0.819, 0.181
48, 0.819, 0.181
49, 0.815, 0.185
50, 0.814, 0.186
51, 0.835, 0.165
52, 0.819, 0.181
53, 0.818, 0.182
54, 0.817, 0.183
55, 0.812, 0.188
56, 0.813, 0.187
57, 0.798, 0.202
58, 0.830, 0.170
59, 0.814, 0.186
60, 0.807, 0.193
61, 0.820, 0.180
62, 0.796, 0.204
63, 0.813, 0.187
64, 0.817, 0.183
65, 0.814, 0.186
66, 0.806, 0.194
67, 0.818, 0.182
68, 0.809, 0.191
69, 0.801, 0.199
70, 0.838, 0.162
71, 0.808, 0.192
72, 0.825, 0.175
73, 0.814, 0.186
74, 0.817, 0.183
75, 0.820, 0.180
76, 0.833, 0.167
77, 0.815, 0.185
78, 0.824, 0.176
79, 0.812, 0.188
80, 0.826, 0.174
81, 0.810, 0.190
82, 0.811, 0.189
83, 0.821, 0.179
84, 0.838, 0.162
85, 0.800, 0.200
86, 0.797, 0.203
87, 0.794, 0.206
88, 0.815, 0.185
89, 0.813, 0.187
90, 0.817, 0.183
91, 0.797, 0.203
92, 0.793, 0.207
93, 0.809, 0.191
94, 0.820, 0.180
95, 0.794, 0.206
96, 0.791, 0.209
97, 0.808, 0.192
98, 0.813, 0.187
99, 0.825, 0.175
