time, infected, susceptable
0, 0.040, 0.960
1, 0.070, 0.930
2, 0.089, 0.911
3, 0.120, 0.880
4, 0.144, 0.856
5, 0.165, 0.835
6, 0.186, 0.814
7, 0.207, 0.793
8, 0.244, 0.756
9, 0.263, 0.737
10, 0.285, 0.715
11, 0.300, 0.700
12, 0.337, 0.663
13, 0.345, 0.655
14, 0.363, 0.637
15, 0.351, 0.649
16, 0.346, 0.654
17, 0.349, 0.651
18, 0.346, 0.654
19, 0.375, 0.625
20, 0.397, 0.603
21, 0.417, 0.583
22, 0.390, 0.610
23, 0.384, 0.616
24, 0.390, 0.610
25, 0.379, 0.621
26, 0.370, 0.630
27, 0.374, 0.626
28, 0.384, 0.616
29, 0.395, 0.605
30, 0.406, 0.594
31, 0.394, 0.606
32, 0.398, 0.602
33, 0.385, 0.615
34, 0.381, 0.619
35, 0.377, 0.623
36, 0.391, 0.609
37, 0.370, 0.630
38, 0.366, 0.634
39, 0.370, 0.630
40, 0.370, 0.630
41, 0.348, 0.652
42, 0.347, 0.653
43, 0.367, 0.633
44, 0.369, 0.631
45, 0.383, 0.617
46, 0.378, 0.622
47, 0.379, 0.621
48, 0.384, 0.616
49, 0.396, 0.604
50, 0.372, 0.628
51, 0.364, 0.636
52, 0.360, 0.640
53, 0.379, 0.621
54, 0.401, 0.599
55, 0.393, 0.607
56, 0.361, 0.639
57, 0.344, 0.656
58, 0.354, 0.646
59, 0.359, 0.641
60, 0.370, 0.630
61, 0.381, 0.619
62, 0.362, 0.638
63, 0.346, 0.654
64, 0.372, 0.628
65, 0.391, 0.609
66, 0.382, 0.618
67, 0.370, 0.630
68, 0.372, 0.628
69, 0.362, 0.638
70, 0.336, 0.664
71, 0.358, 0.642
72, 0.344, 0.656
73, 0.355, 0.645
74, 0.350, 0.650
75, 0.356, 0.644
76, 0.341, 0.659
77, 0.343, 0.657
78, 0.349, 0.651
79, 0.376, 0.624
80, 0.402, 0.598
81, 0.405, 0.595
82, 0.425, 0.575
83, 0.417, 0.583
84, 0.402, 0.598
85, 0.361, 0.639
86, 0.357, 0.643
87, 0.343, 0.657
88, 0.354, 0.646
89, 0.374, 0.626
90, 0.378, 0.622
91, 0.377, 0.623
92, 0.383, 0.617
93, 0.397, 0.603
94, 0.370, 0.630
95, 0.388, 0.612
96, 0.375, 0.625
97, 0.394, 0.606
98, 0.409, 0.591
99, 0.398, 0.602
