time, infected, susceptable
0, 0.040, 0.960
1, 0.133, 0.867
2, 0.323, 0.677
3, 0.582, 0.418
4, 0.715, 0.285
5, 0.726, 0.274
6, 0.728, 0.272
7, 0.719, 0.281
8, 0.716, 0.284
9, 0.725, 0.275
10, 0.743, 0.257
11, 0.754, 0.246
12, 0.727, 0.273
13, 0.736, 0.264
14, 0.726, 0.274
15, 0.724, 0.276
16, 0.730, 0.270
17, 0.710, 0.290
18, 0.743, 0.257
19, 0.730, 0.270
20, 0.733, 0.267
21, 0.717, 0.283
22, 0.721, 0.279
23, 0.736, 0.264
24, 0.726, 0.274
25, 0.713, 0.287
26, 0.746, 0.254
27, 0.746, 0.254
28, 0.711, 0.289
29, 0.732, 0.268
30, 0.728, 0.272
31, 0.722, 0.278
32, 0.748, 0.252
33, 0.722, 0.278
34, 0.715, 0.285
35, 0.733, 0.267
36, 0.739, 0.261
37, 0.731, 0.269
38, 0.712, 0.288
39, 0.736, 0.264
40, 0.728, 0.272
41, 0.707, 0.293
42, 0.713, 0.287
43, 0.725, 0.275
44, 0.720, 0.280
45, 0.716, 0.284
46, 0.694, 0.306
47, 0.755, 0.245
48, 0.735, 0.265
49, 0.733, 0.267
50, 0.751, 0.249
51, 0.725, 0.275
52, 0.740, 0.260
53, 0.760, 0.240
54, 0.735, 0.265
55, 0.744, 0.256
56, 0.742, 0.258
57, 0.716, 0.284
58, 0.718, 0.282
59, 0.743, 0.257
60, 0.751, 0.249
61, 0.738, 0.262
62, 0.752, 0.248
63, 0.725, 0.275
64, 0.720, 0.280
65, 0.728, 0.272
66, 0.693, 0.307
67, 0.719, 0.281
68, 0.748, 0.252
69, 0.720, 0.280
70, 0.745, 0.255
71, 0.718, 0.282
72, 0.688, 0.312
73, 0.731, 0.269
74, 0.723, 0.277
75, 0.719, 0.281
76, 0.727, 0.273
77, 0.739, 0.261
78, 0.704, 0.296
79, 0.700, 0.300
80, 0.740, 0.260
81, 0.719, 0.281
82, 0.728, 0.272
83, 0.745, 0.255
84, 0.708, 0.292
85, 0.726, 0.274
86, 0.725, 0.275
87, 0.720, 0.280
88, 0.717, 0.283
89, 0.719, 0.281
90, 0.724, 0.276
91, 0.754, 0.246
92, 0.733, 0.267
93, 0.720, 0.280
94, 0.718, 0.282
95, 0.735, 0.265
96, 0.720, 0.280
97, 0.759, 0.241
98, 0.743, 0.257
99, 0.718, 0.282
