time, infected, susceptable
0, 0.040, 0.960
1, 0.496, 0.504
2, 0.556, 0.444
3, 0.491, 0.509
4, 0.558, 0.442
5, 0.508, 0.492
6, 0.542, 0.458
7, 0.508, 0.492
8, 0.533, 0.467
9, 0.527, 0.473
10, 0.526, 0.474
11, 0.528, 0.472
12, 0.509, 0.491
13, 0.545, 0.455
14, 0.510, 0.490
15, 0.544, 0.456
16, 0.525, 0.475
17, 0.521, 0.479
18, 0.516, 0.484
19, 0.531, 0.469
20, 0.528, 0.472
21, 0.514, 0.486
22, 0.539, 0.461
23, 0.515, 0.485
24, 0.546, 0.454
25, 0.500, 0.500
26, 0.557, 0.443
27, 0.503, 0.497
28, 0.546, 0.454
29, 0.504, 0.496
30, 0.537, 0.463
31, 0.509, 0.491
32, 0.536, 0.464
33, 0.520, 0.480
34, 0.526, 0.474
35, 0.525, 0.475
36, 0.518, 0.482
37, 0.536, 0.464
38, 0.512, 0.488
39, 0.534, 0.466
40, 0.525, 0.475
41, 0.533, 0.467
42, 0.533, 0.467
43, 0.515, 0.485
44, 0.522, 0.478
45, 0.529, 0.471
46, 0.525, 0.475
47, 0.517, 0.483
48, 0.538, 0.462
49, 0.510, 0.490
50, 0.536, 0.464
51, 0.506, 0.494
52, 0.535, 0.465
53, 0.509, 0.491
54, 0.541, 0.459
55, 0.506, 0.494
56, 0.538, 0.462
57, 0.509, 0.491
58, 0.523, 0.477
59, 0.531, 0.469
60, 0.513, 0.487
61, 0.543, 0.457
62, 0.515, 0.485
63, 0.531, 0.469
64, 0.533, 0.467
65, 0.517, 0.483
66, 0.535, 0.465
67, 0.520, 0.480
68, 0.530, 0.470
69, 0.522, 0.478
70, 0.535, 0.465
71, 0.507, 0.493
72, 0.537, 0.463
73, 0.507, 0.493
74, 0.550, 0.450
75, 0.519, 0.481
76, 0.534, 0.466
77, 0.528, 0.472
78, 0.524, 0.476
79, 0.536, 0.464
80, 0.515, 0.485
81, 0.539, 0.461
82, 0.515, 0.485
83, 0.534, 0.466
84, 0.521, 0.479
85, 0.514, 0.486
86, 0.535, 0.465
87, 0.516, 0.484
88, 0.531, 0.469
89, 0.527, 0.473
90, 0.519, 0.481
91, 0.538, 0.462
92, 0.505, 0.495
93, 0.559, 0.441
94, 0.507, 0.493
95, 0.543, 0.457
96, 0.518, 0.482
97, 0.537, 0.463
98, 0.512, 0.488
99, 0.541, 0.459
