time, infected, susceptable
0, 0.040, 0.960
1, 0.129, 0.871
2, 0.355, 0.645
3, 0.636, 0.364
4, 0.792, 0.208
5, 0.796, 0.204
6, 0.783, 0.217
7, 0.806, 0.194
8, 0.798, 0.202
9, 0.817, 0.183
10, 0.782, 0.218
11, 0.776, 0.224
12, 0.813, 0.187
13, 0.789, 0.211
14, 0.798, 0.202
15, 0.813, 0.187
16, 0.769, 0.231
17, 0.806, 0.194
18, 0.807, 0.193
19, 0.825, 0.175
20, 0.797, 0.203
21, 0.787, 0.213
22, 0.805, 0.195
23, 0.776, 0.224
24, 0.826, 0.174
25, 0.793, 0.207
26, 0.802, 0.198
27, 0.807, 0.193
28, 0.797, 0.203
29, 0.793, 0.207
30, 0.806, 0.194
31, 0.804, 0.196
32, 0.817, 0.183
33, 0.800, 0.200
34, 0.827, 0.173
35, 0.825, 0.175
36, 0.803, 0.197
37, 0.814, 0.186
38, 0.814, 0.186
39, 0.818, 0.182
40, 0.824, 0.176
41, 0.795, 0.205
42, 0.782, 0.218
43, 0.804, 0.196
44, 0.812, 0.188
45, 0.802, 0.198
46, 0.815, 0.185
47, 0.799, 0.201
48, 0.820, 0.180
49, 0.806, 0.194
50, 0.801, 0.199
51, 0.819, 0.181
52, 0.828, 0.172
53, 0.800, 0.200
54, 0.774, 0.226
55, 0.787, 0.213
56, 0.799, 0.201
57, 0.801, 0.199
58, 0.786, 0.214
59, 0.793, 0.207
60, 0.810, 0.190
61, 0.796, 0.204
62, 0.832, 0.168
63, 0.789, 0.211
64, 0.782, 0.218
65, 0.780, 0.220
66, 0.818, 0.182
67, 0.797, 0.203
68, 0.795, 0.205
69, 0.817, 0.183
70, 0.792, 0.208
71, 0.793, 0.207
72, 0.806, 0.194
73, 0.789, 0.211
74, 0.801, 0.199
75, 0.801, 0.199
76, 0.804, 0.196
77, 0.832, 0.168
78, 0.797, 0.203
79, 0.816, 0.184
80, 0.811, 0.189
81, 0.812, 0.188
82, 0.810, 0.190
83, 0.799, 0.201
84, 0.813, 0.187
85, 0.801, 0.199
86, 0.815, 0.185
87, 0.810, 0.190
88, 0.789, 0.211
89, 0.796, 0.204
90, 0.809, 0.191
91, 0.806, 0.194
92, 0.806, 0.194
93, 0.832, 0.168
94, 0.777, 0.223
95, 0.798, 0.202
96, 0.799, 0.201
97, 0.797, 0.203
98, 0.816, 0.184
99, 0.810, 0.190
